Time,X(CH2),
Second,Volt,
-2.6600084e-01,7.20000e-01,
-2.6400083e-01,7.20000e-01,
-2.6200083e-01,5.60000e-01,
-2.6000082e-01,5.20000e-01,
-2.5800082e-01,6.40000e-01,
-2.5600082e-01,6.80000e-01,
-2.5400081e-01,7.20000e-01,
-2.5200081e-01,6.40000e-01,
-2.5000080e-01,5.20000e-01,
-2.4800080e-01,5.60000e-01,
-2.4600080e-01,7.20000e-01,
-2.4400079e-01,7.20000e-01,
-2.4200079e-01,5.60000e-01,
-2.4000078e-01,5.20000e-01,
-2.3800078e-01,6.40000e-01,
-2.3600078e-01,7.20000e-01,
-2.3400077e-01,6.40000e-01,
-2.3200077e-01,6.40000e-01,
-2.3000076e-01,5.60000e-01,
-2.2800076e-01,5.60000e-01,
-2.2600076e-01,7.20000e-01,
-2.2400075e-01,7.20000e-01,
-2.2200075e-01,5.60000e-01,
-2.2000074e-01,5.20000e-01,
-2.1800074e-01,6.40000e-01,
-2.1600074e-01,6.40000e-01,
-2.1400073e-01,7.20000e-01,
-2.1200073e-01,6.40000e-01,
-2.1000072e-01,5.20000e-01,
-2.0800072e-01,5.60000e-01,
-2.0600072e-01,7.20000e-01,
-2.0400071e-01,7.20000e-01,
-2.0200071e-01,5.60000e-01,
-2.0000070e-01,5.20000e-01,
-1.9800070e-01,6.40000e-01,
-1.9600070e-01,6.40000e-01,
-1.9400069e-01,6.80000e-01,
-1.9200069e-01,6.40000e-01,
-1.9000068e-01,5.20000e-01,
-1.8800068e-01,5.60000e-01,
-1.8600067e-01,6.80000e-01,
-1.8400067e-01,6.80000e-01,
-1.8200067e-01,5.60000e-01,
-1.8000066e-01,5.20000e-01,
-1.7800066e-01,6.00000e-01,
-1.7600065e-01,6.00000e-01,
-1.7400065e-01,6.40000e-01,
-1.7200065e-01,6.00000e-01,
-1.7000064e-01,4.80000e-01,
-1.6800064e-01,4.80000e-01,
-1.6600063e-01,6.00000e-01,
-1.6400063e-01,5.60000e-01,
-1.6200063e-01,4.80000e-01,
-1.6000062e-01,4.40000e-01,
-1.5800062e-01,4.80000e-01,
-1.5600061e-01,4.80000e-01,
-1.5400061e-01,4.00000e-01,
-1.5200061e-01,4.00000e-01,
-1.5000060e-01,3.20000e-01,
-1.4800060e-01,3.20000e-01,
-1.4600059e-01,2.80000e-01,
-1.4400059e-01,2.80000e-01,
-1.4200059e-01,2.40000e-01,
-1.4000058e-01,2.40000e-01,
-1.3800058e-01,2.80000e-01,
-1.3600057e-01,2.40000e-01,
-1.3400057e-01,3.60000e-01,
-1.3200057e-01,3.20000e-01,
-1.3000056e-01,4.00000e-01,
-1.2800056e-01,4.00000e-01,
-1.2600055e-01,5.60000e-01,
-1.2400056e-01,6.00000e-01,
-1.2200056e-01,5.20000e-01,
-1.2000056e-01,4.80000e-01,
-1.1800057e-01,6.00000e-01,
-1.1600057e-01,6.00000e-01,
-1.1400057e-01,6.80000e-01,
-1.1200058e-01,6.40000e-01,
-1.1000058e-01,5.20000e-01,
-1.0800058e-01,5.60000e-01,
-1.0600059e-01,7.20000e-01,
-1.0400059e-01,7.20000e-01,
-1.0200059e-01,5.60000e-01,
-1.0000060e-01,5.60000e-01,
-9.8000601e-02,6.40000e-01,
-9.6000604e-02,6.80000e-01,
-9.4000608e-02,7.20000e-01,
-9.2000611e-02,6.80000e-01,
-9.0000615e-02,5.60000e-01,
-8.8000618e-02,5.60000e-01,
-8.6000621e-02,7.20000e-01,
-8.4000625e-02,7.20000e-01,
-8.2000628e-02,5.60000e-01,
-8.0000632e-02,5.60000e-01,
-7.8000635e-02,6.40000e-01,
-7.6000638e-02,6.80000e-01,
-7.4000642e-02,7.20000e-01,
-7.2000645e-02,6.80000e-01,
-7.0000648e-02,5.60000e-01,
-6.8000652e-02,5.60000e-01,
-6.6000655e-02,7.20000e-01,
-6.4000659e-02,7.20000e-01,
-6.2000658e-02,5.60000e-01,
-6.0000658e-02,5.60000e-01,
-5.8000658e-02,6.40000e-01,
-5.6000657e-02,6.00000e-01,
-5.4000657e-02,7.20000e-01,
-5.2000657e-02,6.40000e-01,
-5.0000656e-02,5.60000e-01,
-4.8000656e-02,5.60000e-01,
-4.6000656e-02,7.20000e-01,
-4.4000655e-02,7.20000e-01,
-4.2000655e-02,5.60000e-01,
-4.0000655e-02,5.60000e-01,
-3.8000654e-02,6.40000e-01,
-3.6000654e-02,6.40000e-01,
-3.4000654e-02,7.20000e-01,
-3.2000653e-02,6.80000e-01,
-3.0000653e-02,5.60000e-01,
-2.8000653e-02,5.60000e-01,
-2.6000652e-02,7.20000e-01,
-2.4000652e-02,7.20000e-01,
-2.2000652e-02,5.60000e-01,
-2.0000651e-02,5.20000e-01,
-1.8000651e-02,6.00000e-01,
-1.6000651e-02,6.40000e-01,
-1.4000650e-02,7.20000e-01,
-1.2000650e-02,6.80000e-01,
-1.0000650e-02,5.20000e-01,
-8.0006495e-03,5.60000e-01,
-6.0006492e-03,6.80000e-01,
-4.0006489e-03,7.20000e-01,
-2.0006488e-03,5.60000e-01,
-6.4866617e-07,5.60000e-01,
1.9993514e-03,6.40000e-01,
3.9993515e-03,6.40000e-01,
5.9993519e-03,7.20000e-01,
7.9993522e-03,6.80000e-01,
9.9993525e-03,5.60000e-01,
1.1999353e-02,5.60000e-01,
1.3999353e-02,7.20000e-01,
1.5999353e-02,7.20000e-01,
1.7999353e-02,5.60000e-01,
1.9999353e-02,5.20000e-01,
2.1999354e-02,6.40000e-01,
2.3999354e-02,6.00000e-01,
2.5999354e-02,7.20000e-01,
2.7999355e-02,6.80000e-01,
2.9999355e-02,5.60000e-01,
3.1999353e-02,5.60000e-01,
3.3999354e-02,6.80000e-01,
3.5999354e-02,7.20000e-01,
3.7999354e-02,6.00000e-01,
3.9999355e-02,5.20000e-01,
4.1999355e-02,6.40000e-01,
4.3999355e-02,6.40000e-01,
4.5999356e-02,7.20000e-01,
4.7999356e-02,6.80000e-01,
4.9999356e-02,5.60000e-01,
5.1999357e-02,5.60000e-01,
5.3999357e-02,7.20000e-01,
5.5999357e-02,7.20000e-01,
5.7999358e-02,5.60000e-01,
5.9999358e-02,5.60000e-01,
6.1999358e-02,6.40000e-01,
6.3999355e-02,6.40000e-01,
6.5999351e-02,7.20000e-01,
6.7999348e-02,7.20000e-01,
6.9999345e-02,5.60000e-01,
7.1999341e-02,5.60000e-01,
7.3999338e-02,7.20000e-01,
7.5999334e-02,7.20000e-01,
7.7999331e-02,6.40000e-01,
7.9999328e-02,5.60000e-01,
8.1999324e-02,6.80000e-01,
8.3999321e-02,6.40000e-01,
8.5999317e-02,7.60000e-01,
8.7999314e-02,7.20000e-01,
8.9999311e-02,5.60000e-01,
9.1999307e-02,5.60000e-01,
9.3999304e-02,7.20000e-01,
9.5999300e-02,7.20000e-01,
9.7999297e-02,6.00000e-01,
9.9999294e-02,5.60000e-01,
1.0199929e-01,6.40000e-01,
1.0399929e-01,6.80000e-01,
1.0599928e-01,7.20000e-01,
1.0799928e-01,6.80000e-01,
1.0999928e-01,5.20000e-01,
1.1199927e-01,5.60000e-01,
1.1399927e-01,6.80000e-01,
1.1599927e-01,7.20000e-01,
1.1799926e-01,6.00000e-01,
1.1999926e-01,5.20000e-01,
1.2199926e-01,6.40000e-01,
1.2399925e-01,6.00000e-01,
1.2599926e-01,7.20000e-01,
1.2799926e-01,6.80000e-01,
1.2999927e-01,5.20000e-01,
1.3199927e-01,5.60000e-01,
1.3399927e-01,7.20000e-01,
1.3599928e-01,7.20000e-01,
1.3799928e-01,5.60000e-01,
1.3999929e-01,5.60000e-01,
1.4199929e-01,6.00000e-01,
1.4399929e-01,6.40000e-01,
1.4599930e-01,7.20000e-01,
1.4799930e-01,6.80000e-01,
1.4999931e-01,5.60000e-01,
1.5199931e-01,5.60000e-01,
1.5399931e-01,6.80000e-01,
1.5599932e-01,7.20000e-01,
1.5799932e-01,6.00000e-01,
1.5999933e-01,5.20000e-01,
1.6199933e-01,6.00000e-01,
1.6399933e-01,6.00000e-01,
1.6599934e-01,7.20000e-01,
1.6799934e-01,6.80000e-01,
1.6999935e-01,5.60000e-01,
1.7199935e-01,5.60000e-01,
1.7399935e-01,6.80000e-01,
1.7599936e-01,7.20000e-01,
1.7799936e-01,5.60000e-01,
1.7999937e-01,5.60000e-01,
1.8199937e-01,6.00000e-01,
1.8399937e-01,6.00000e-01,
1.8599938e-01,7.20000e-01,
1.8799938e-01,6.80000e-01,
1.8999939e-01,5.20000e-01,
1.9199939e-01,5.60000e-01,
1.9399939e-01,6.80000e-01,
1.9599940e-01,7.20000e-01,
1.9799940e-01,6.00000e-01,
1.9999941e-01,5.20000e-01,
2.0199941e-01,6.00000e-01,
2.0399942e-01,6.00000e-01,
2.0599942e-01,7.20000e-01,
2.0799942e-01,6.80000e-01,
2.0999943e-01,5.20000e-01,
2.1199943e-01,5.60000e-01,
2.1399944e-01,6.80000e-01,
2.1599944e-01,7.20000e-01,
2.1799944e-01,5.60000e-01,
2.1999945e-01,5.20000e-01,
2.2199945e-01,6.00000e-01,
2.2399946e-01,6.40000e-01,
2.2599946e-01,7.20000e-01,
2.2799946e-01,6.80000e-01,
2.2999947e-01,5.20000e-01,
2.3199947e-01,5.60000e-01,
2.3399948e-01,6.80000e-01,
2.3599948e-01,7.20000e-01,
2.3799948e-01,6.40000e-01,
2.3999949e-01,5.60000e-01,
2.4199949e-01,6.00000e-01,
2.4399950e-01,6.00000e-01,
2.4599950e-01,7.20000e-01,
2.4799950e-01,6.80000e-01,
2.4999951e-01,5.60000e-01,
2.5199950e-01,5.60000e-01,
2.5399950e-01,6.80000e-01,
2.5599951e-01,7.20000e-01,
2.5799951e-01,5.60000e-01,
2.5999951e-01,6.00000e-01,
2.6199952e-01,5.20000e-01,
2.6399952e-01,6.40000e-01,
2.6599953e-01,7.20000e-01,
2.6799953e-01,6.80000e-01,
2.6999953e-01,5.60000e-01,
2.7199954e-01,5.60000e-01,
2.7399954e-01,6.80000e-01,
2.7599955e-01,7.20000e-01,
2.7799955e-01,6.40000e-01,
2.7999955e-01,6.00000e-01,
2.8199956e-01,5.60000e-01,
2.8399956e-01,6.00000e-01,
2.8599957e-01,7.20000e-01,
2.8799957e-01,6.80000e-01,
2.8999957e-01,5.60000e-01,
2.9199958e-01,5.60000e-01,
2.9399958e-01,6.40000e-01,
